Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
Innovative Management & Technology Approaches (IMTAS),Y,WV,60,1994,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,,,,,9.5,2018,N,,,http://imts.com/,http://www.ijis.org/?page=Member_List,,,PrivCo (www.privco.com),
Innovative Management Concepts,Y,VA,150,1989,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,,,,,25,2018,N,,,http://www.imcva.com/,http://www.ijis.org/?page=Member_List,,,PrivCo (www.privco.com),
Innovative Monitoring Systems,Y,IA,,,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,,,,,,,,,N,,,http://innovativemonitoringsystems.com/,See website,,,,
Innoviss ,Y,MD,100,,,,,,,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",,,Y,,,,19,2018,N,,,http://www.innoviss.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
Inpatient Medicine Associates,Y,FL,,,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,,,N,,,,https://facts.fldfs.com/Search/ContractDetail.aspx?AgencyId=700000&ContractId=S3078&Tab=1,,,,
InRule Technology,Y,IL,35,2002,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,Corrections Data Systems,,,,,,,10.3,2018,N,,,http://www.inrule.com/,See SmartWatt,,,PrivCo (www.privco.com),
Inserso Corporation,Y,VA,285,1994,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,Y,,,,41,2018,N,,,https://www.inserso.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
Insight Enterprises,Y,AZ,,1988,,Kenneth T. Lamneck,,,NSIT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,7,,7731.19,2019,N,,,https://www.insight.com/,https://www.insight.com/en_US/solve/vertical/state-local-government/public-safety.html,,,FactSet,
Insight Technology,Y,NH,1100,1988,2010,,,L3 Technologies,LLL-CA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,Equipment,Security Technology,Y,,14,Y,290,2010,Y,,Acquired by L3 Technologies in 2010,http://www.insighttechnology.com/,See website,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,https://www.businesswire.com/news/home/20100219005163/en/L-3-Agrees-Acquire-Insight-Technology-Expands-Electro-Optical,
Insinger Machine,Y,PA,,1935,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,,http://insingermachine.com/,http://insingermachine.com/about/,,,,
Institute for Credible Leadership Development,Y,,,2009,,,,,,Tier 4 - Small Privately-Owned,Personnel,Staff Training,,,,,,,,,N,,,https://www.leicld.com/,See website,,,,
Intapol Industries,Y,NJ,,1959,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://www.intapol.com/,https://www.intapol.com/police-security/,,,,
IntegenX,Y,CA,,2003,2018,,,Thermo Fisher Scientific,TMO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Data & Information Systems,"Arrest, Court, & Probation Data Systems",,,11,Y,,,Y,,Acquired by Thermo Fisher Scientific in 2018,https://integenx.com/,See website,,,,https://www.prnewswire.com/news-releases/thermo-fisher-scientific-acquires-integenx-provider-of-leading-rapid-dna-technology-for-human-identification-300615538.html
Integral Consulting Services,Y,MD,230,,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,Y,,,,44,2018,N,,,https://www.e2zintegral.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
Integrated Engineering,Y,Netherlands,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,N,,,,http://ajaproductserviceresource.com/,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=13649600
Integrated Facility Systems,Y,FL,,1998,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,https://ifsbi.com/,FL DOC Spending,,,,
Integrated Finance And Accounting Solutions ,Y,VA,90,,,,,,,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",,,Y,,,,11,2018,N,,,https://ifas-llc.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
Integrated Fire and Security Solutions,Y,FL,,2006,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,,,N,,,http://www.fireandsecurityteam.com/,http://www.fireandsecurityteam.com/alarms/correctional_security_services.htm,,,,
Integrated Medical Solutions,Y,TX,70,1999,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,44,2018,Y,,,https://www.imsi-USA.com/,See website,,,PrivCo (www.privco.com),
Integration Technologies Group ,Y,VA,140,,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,Y,,,,28,2018,N,,,https://www.itgonline.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
Integrity Steel Works,Y,TX,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,Y,,,http://www.integritysteelworks.com/,See website,,,,
Integrityone Partners ,Y,VA,90,,,,,,,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",,,Y,,,,16.5,2018,N,,,http://www.ionep.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
Integrus Architecture,Y,WA,130,1953,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,,,,,,,29,2018,N,,,http://www.integrusarch.com/,http://www.integrusarch.com/about/expertise/,,,PrivCo (www.privco.com),http://correctionalnews.com/2009/12/01/facility-the-month-marapr-2009-boxing-clever/
Intellectual Technology,Y,CA,120,,2012,Drew Nicholson,Vicente Capital Partners,,,Tier 2 - Investment Firm-Owned,Programs & Labor,Vocation/Industries (Prison Labor),,,,Y,9,,51,2017,N,,Acquired by Vicente Capital Partners in 2012,http://www1.iti4dmv.com/,https://www.nationalcia.org/corporate-members,,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),http://www.vicentecapital.com/portfolio.php
Intellicheck,Y,NY,29,1994,,Bryan Lewis,,,IDN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,,,,,13,Y,7.663658,2019,N,,,http://intellicheck.com/,http://intellicheck.com/industries/law-enforcement/,,,FactSet,
IntelliDyne,Y,NY,350,1998,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Equipment,Security Technology,,,,,56,2018,N,,,http://intellidyne-llc.com/Home.aspx,http://intellidyne-llc.com/Home/Markets/Law-Enforcement.aspx,,,PrivCo (www.privco.com),
Intelligent Lighting Control,Y,MN,,1990,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://www.ilc-usa.com/,http://www.ilc-usa.com/product_detail.php?pid=62&desc=Lighting-controls-panels,,,,
IntelliSit,Y,NC,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,Y,,,,,N,,,http://intellisit.com/,TDCJ Spending,,See corrections source,,
Intensive Use Furniture,Y,NJ,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,https://www.intensiveusefurniture.com/,See website,,,,
Inter-Con Security Systems,Y,CA,,1973,,,,,,Tier 4 - Small Privately-Owned,Personnel,Third Party Staffing,,,,,,,,,N,,,http://www.icsecurity.com/,http://www.icsecurity.com/sectors/government-and-diplomatic,,,,
Interline Brands (dba Supply Works),Y,FL,,1978,2015,,,Home Depot,HD,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,,,8,,2000,2017,N,,Acquired by Home Depot in 2015 for $1.63 B,https://interlinebrands.com/,TDCJ Spending,,,https://interlinebrands.com/AboutUs/OurCompany,http://ir.homedepot.com/news-releases/2015/07-22-2015-014515131
Intermountain Lock,Y,UT,,1966,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,Equipment,Security Technology,,,,,,,N,,,https://www.imlss.com/,https://www.imlss.com/images/Government_Capabilities_2016.pdf,,,,
International Paper Co,Y,TN,56000,1898,,Mark Sutton,,,IP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,Y,9,,22376,2019,N,,,http://www.internationalpaper.com/,See Castell,,See corrections source,FactSet,http://www.otcmarkets.com/edgar/GetFilingPdf?FilingID=10518002
International Restaurant Distributors,Y,FL,,1984,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,20.98,2018,N,,,https://www.irdequipment.com/,http://www.dc.state.fl.us/business/contracts/,,,PrivCo (www.privco.com),
International Restaurant Equipment ,Y,CA,,1979,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,,http://www.irekitchen.com/,https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,,,,
Intersect USA,Y,CA,,1997,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,N,,,http://www.intersectusa.com/,http://www.intersectusa.com/about-us,,,,
Interstate All Battery Center,Y,TX,15,1952,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,4,2018,N,,,https://www.interstatebatteries.com/,https://aja.multiview.com/,,,PrivCo (www.privco.com),
Interstate Highway Sign,Y,AR,,1959,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,Y,,,,,N,,,http://www.interstatesigns.com/,TDCJ Spending,,See corrections source,,
InTime Solutions,Y,Canada,,1995,,,,,,Tier 4 - Small Privately-Owned,Personnel,Staff Management Systems,,,,,,,,,N,,,http://intimesoft.com/,https://intime.com/industries/corrections/,,,,
Intoxalock (formerly Consumer Safety Technologies),Y,IL,,1992,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,,,,,,,,,N,,,https://www.intoxalock.com/,See website,,,,
Intoximeters,Y,MO,95,1945,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Substance Abuse Treatment,,,,,,,27,2018,N,,,http://www.intox.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,PrivCo (www.privco.com),
Intrinsic Edge Capital Management,Y,IL,,1999,,,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,,,,,12,Y,,,N,,,http://intrinsicedge.com/,https://www.aft.org/sites/default/files/invest-risks-prisons-detention-2018.pdf,,,,
Investors Group,Y,Canada,,1926,,,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,Investor,"Construction, Equipment, & Acquisition Financing",,,12,Y,,,N,,"Bonds held through asset management arm, IG Investment Management",https://www.investorsgroup.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf ,,,,
IPVideo,Y,NY,,2005,,David Antar,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,Equipment,Security Technology,Y,,,,,,N,,,https://ipvideocorp.com/,https://ipvideocorp.com/,,,,
Iridian Asset Managemnet,Y,CT,,1996,,,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,,,,,12,Y,,,N,,,https://iridian.com/,https://www.aft.org/sites/default/files/invest-risks-prisons-detention-2018.pdf,,,,
Irrigation Mart,Y,LA,,1978,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://irrigation-mart.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003874-T.pdf,,,,
Isaac Wiles Burkholder & Teetor,Y,OH,,2013,,,,,,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",,,,,,,,,N,,,http://www.isaacwiles.com/,OH DRC Spending,,,,
iSafe Technologies,Y,NY,,2001,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,"Arrest, Court, & Probation Data Systems",,,,,,,,,N,,,http://www.isafetech.com/,See website,,,,
ISecureTrac Corp,N,NE,,1983,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,Acquired by Corrisoft,,https://www.officer.com/command-hq/corrections/offender-monitoring/company/10037577/isecuretrac-corp,,,,
ISI Controls,Y,Canada,,1993,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,N,,,http://isicontrols.com/,TDCJ Spending,,,,
ISS Action,Y,NY,260,,,,,,,Tier 4 - Small Privately-Owned,Personnel,Third Party Staffing,,,Y,,,,15.5,2018,N,,,http://issaction.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
iSYS,Y,CO,130,1989,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,Y,,,,35,2018,N,,,https://isystechnologies.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
